day,energy,mass
104,1617200,10000
105,2998200,10000
106,498900,10000
107,783300,10000
108,3009300,10000
109,858400,10000
110,1585500,10000
111,2286700,10000
112,0,10000
113,1076600,10000
114,270900,10000
115,3005100,10000
116,1064700,10000
117,2408600,10000
118,1594600,10000
119,863600,10000
120,477300,10000
121,3012300,10000
122,901600,10000
123,403900,10000
124,2022300,10000
125,242900,10000
126,882700,10000
127,931400,10000
128,785300,10000
129,919800,10000
130,2435300,10000
131,102000,10000
132,515900,10000
133,1046500,10000
134,371700,10000
135,1466500,10000
136,13400,10000
137,758800,10000
138,1984500,10000
139,3010800,10000
140,1095500,10000
141,1700300,10000
142,829800,10000
143,537600,10000
144,1713600,10000
145,413700,10000
146,0,10000
147,894600,10000
148,406700,10000
149,1830500,10000
150,2047500,10000
151,2244200,10000
152,1552600,10000
153,541800,10000
154,1561300,10000
155,494900,10000
156,1041600,10000
157,770700,10000
158,1835400,10000
159,2603300,10000
160,2776900,10000
161,1698400,10000
162,733600,10000
163,1196200,10000
164,3007800,10000
165,2688200,10000
166,382900,10000
167,3017700,10000
168,1088500,10000
169,2713200,10000
170,480000,10000
171,324800,10000
172,1057700,10000
173,946400,10000
174,0,10000
175,1244600,10000
176,361900,10000
177,2734900,10000
178,1784300,10000
179,1328600,10000
180,884800,10000
181,833700,10000
182,14000,10000
183,2270100,10000
184,1650600,10000
185,422800,10000
186,40200,10000
187,1184400,10000
188,460600,10000
189,1464400,10000
190,508600,10000
191,1330700,10000
192,1295700,10000
193,2197200,10000
194,179900,10000
195,0,10000
196,3006600,10000
197,581700,10000
198,1092100,10000
199,20100,10000
200,0,10000
